app_id,app_name,app_description,app_version,category,subcategory,vendor_name,vendor_contact_email,app_owner,technical_lead,business_owner,department,annual_cost,license_type,cost_center,in_use,user_count,deployment_type,environment,platform,programming_language,database_type,depends_on_apps,integrates_with_apps,compliance_requirements,security_classification,data_sensitivity,installation_date,last_updated,end_of_life_date,renewal_date,uptime_sla,criticality,tags,notes,created_at,updated_at
1,Hanson-Gonzalez Wish App,Law our follow most need design.,3.8.7,IT Operations,Ticketing,Terry Inc,ricemeghan@example.org,William Watson,Hannah Morgan,Curtis Martin,Medical_laboratory_scientific_officer Dept,352289.4,perpetual,CC8933,True,3808.0,hybrid,staging,web,,,ServiceNow,,PCI DSS,confidential,medium,2024-04-11,2025-01-06,,2026-02-10,99.9,high,"general,hope,win,others,pressure",Number father together even newspaper. Role executive religious.,2022-05-23T06:10:27.654643,2025-08-01T06:10:27.654651
2,Smith Inc Wish App,Full development deal support.,1.4.8,Communication,Email,"Decker, Adams and Paul",fgonzalez@example.net,Emily Tyler,Brian Martinez,Michelle Hill,Commissioning_editor Dept,201249.48,open_source,CC4289,False,853.0,on_premise,development,mobile,,,"Postman,Figma",,,restricted,low,2021-04-16,2024-08-10,,2026-05-16,99.36,high,full,Specific myself several state material reduce.,2021-04-16T06:10:27.655275,2025-08-01T06:10:27.655278
3,"Young, Stone and Li Fire App",Tax anyone difference economic plan candidate this picture.,3.3.8,Communication,Messaging,Young Group,natasha71@example.org,Christina Stephens,Matthew Gillespie,Darren Turner,Dietitian Dept,31634.84,subscription,CC7838,False,,cloud,staging,web,Perl,MySQL,Mailchimp,GitLab,"HIPAA,GDPR,ISO 27001",internal,high,2022-05-30,2024-03-17,,2026-03-16,99.87,medium,"simply,minute,possible",Expert establish clearly accept.,2024-09-24T06:10:27.655828,2025-08-01T06:10:27.655834
4,"Zavala, Sexton and Jones Network App",Seem cause south top behind board.,3.1.5,Productivity,Task Management,Hill-Johnson,fernandezcharlene@example.com,Anthony Hodge,Jared Oconnor,John Lowery,Freight_forwarder Dept,471971.81,subscription,CC3022,True,4447.0,cloud,development,desktop,C++,SQLite,"ServiceNow,Google Cloud Console",Gmail,SOX,internal,medium,2025-01-15,2025-03-11,,2027-04-23,99.86,high,"account,beyond,great,attack,though",Store major grow allow allow ground investment. Share anything kid be party draw model near.,2024-02-07T06:10:27.656518,2025-08-01T06:10:27.656521
5,"Chavez, Jimenez and Hill Training App",Congress response type production general anything have.,3.5.1,Finance,Expense Tracking,"Romero, Taylor and Thompson",nsmith@example.org,Michael Davis,Angela Romero,Patty Santiago,"Editor,_magazine_features Dept",356589.69,open_source,CC8389,True,4336.0,on_premise,production,api,PHP,SQLite,Workday,"Jira,Salesforce,Splunk","SOX,GDPR,HIPAA",public,high,2021-07-17,2024-10-07,,2027-03-15,99.03,medium,"perhaps,trip,charge,coach,outside",Card whom avoid religious enough bank I. Yet deal president personal language race.,2022-06-16T06:10:27.657308,2025-08-01T06:10:27.657311
6,Rosales and Sons Read App,Team country teacher.,5.0.6,Sales,E-commerce,Edwards Group,irogers@example.net,Janice Kim,Miranda West,Daniel Wright,Emergency_planning/management_officer Dept,279613.67,open_source,CC6668,True,2669.0,on_premise,development,api,TypeScript,,,,,internal,critical,2023-12-10,2025-07-02,,2025-08-20,99.85,low,"southern,field,right,stock,pay",Political interest case think. Control onto center nothing base something.,2021-04-25T06:10:27.657801,2025-08-01T06:10:27.657804
7,"Allison, Oliver and Olson Choose App",Old onto possible approach book continue buy.,4.4.2,Development,Version Control,Everett and Sons,fbolton@example.com,Teresa Johnson,Carol Perez,Amy Howard,Chemical_engineer Dept,491800.0,open_source,CC0511,True,4115.0,on_premise,production,api,Java,PostgreSQL,"Trello,GitLab","Workday,Zoom,AWS Console","PCI DSS,SOX,HIPAA",confidential,critical,2022-12-18,2023-03-04,,2026-05-21,99.87,medium,party,Store level certain raise rather ever pull.,2024-02-24T06:10:27.658343,2025-08-01T06:10:27.658345
8,Garza Group Radio App,Also answer Mrs training determine school production.,2.6.7,Finance,Payroll,Lopez-Turner,pearsonemily@example.net,John Hardy,Michael Atkinson,Victor Brewer,"Civil_engineer,_consulting Dept",221685.21,freemium,CC0787,True,132.0,cloud,production,web,,,SAP ERP,,,public,medium,2021-11-21,2023-04-15,,2026-01-10,99.69,low,"be,appear",Deal best case staff too evening site.,2024-01-24T06:10:27.658876,2025-08-01T06:10:27.658879
9,Peters and Sons Attention App,Carry low country find nothing approach.,5.1.3,Productivity,Task Management,Andrade and Sons,mharvey@example.net,John Clements,Molly Lara,Raymond Ballard,Passenger_transport_manager Dept,490700.63,freemium,CC6045,True,,on_premise,staging,desktop,C#,SQLite,,,"GDPR,SOX,PCI DSS",confidential,high,2023-02-26,2024-05-11,,2026-01-22,99.22,critical,"customer,serve,site,chance,economy",Shoulder store sure kind most forward.,2021-04-20T06:10:27.659357,2025-08-01T06:10:27.659360
10,Richardson-Alexander Sort App,These friend about would writer stock development.,3.0.4,HR,Recruitment,Hunter PLC,vincentschaefer@example.net,Christina Davis,John Smith,David Hughes,Secretary/administrator Dept,237955.65,freemium,CC4357,True,3525.0,on_premise,production,mobile,,Oracle,"ServiceNow,Google Cloud Console,GitHub",Workday,,internal,critical,2022-10-19,2024-08-08,,2026-10-12,99.96,high,brother,Republican drug suddenly significant deep building. Any commercial could read walk.,2024-09-25T06:10:27.659922,2025-08-01T06:10:27.659925
11,"Case, Allen and Dixon Difficult App",Power system enter involve care recognize.,1.6.7,Development,CI/CD,Harris-Herring,rmiller@example.org,Gary Higgins,Melanie Jenkins,Jennifer Miller,Multimedia_specialist Dept,490249.21,freemium,CC3154,True,1081.0,on_premise,production,mobile,Go,MongoDB,,"Okta,Slack,Google Cloud Console",HIPAA,confidential,medium,2023-05-04,2024-12-05,,2026-10-20,99.47,critical,"nice,purpose",Activity information adult state far.,2022-06-26T06:10:27.660512,2025-08-01T06:10:27.660514
12,Donovan-Perez President App,Husband phone traditional official stop.,1.7.9,Finance,Expense Tracking,"Washington, Hernandez and Patterson",foliver@example.com,Dawn Hernandez,Jonathan Webb,Judith Cox,Banker Dept,141226.47,perpetual,CC4531,True,4172.0,on_premise,staging,web,,,"Slack,Workday",,,internal,low,2022-11-05,2025-05-18,,2026-10-18,99.87,critical,"none,parent,however,help",Far trip pay machine letter popular fine. Skill quality that beautiful its art hand.,2025-07-02T06:10:27.661097,2025-08-01T06:10:27.661099
13,Buchanan Ltd Brother App,Safe general letter everybody know current mind allow.,3.5.8,Marketing,Analytics,"Carter, Harris and Klein",jameswhite@example.org,Julie Strong,Jeffrey Graham,Alexander Phelps,Lexicographer Dept,135549.37,open_source,CC0519,True,600.0,on_premise,staging,desktop,,,Miro,Asana,GDPR,internal,critical,2020-11-25,2023-07-29,,2026-02-03,99.17,medium,"money,both,option",Wife play national other pressure benefit. Power level thing become.,2024-05-29T06:10:27.661687,2025-08-01T06:10:27.661690
14,Guzman and Sons Industry App,Reflect deal southern may.,5.5.5,HR,Onboarding,"Camacho, Wagner and Lee",daniel94@example.org,Robert Shelton,Aaron Phillips,Diamond Rodriguez,"Therapist,_sports Dept",274913.28,open_source,CC5730,True,1804.0,cloud,production,mobile,Python,MySQL,"Google Cloud Console,Microsoft Teams","Power BI,Zoom,ServiceNow",,public,low,2023-12-31,2024-03-16,,2026-12-17,99.97,low,"television,movie,beat,now",Property second century his. Trouble structure bill set sport.,2024-07-27T06:10:27.662250,2025-08-01T06:10:27.662255
15,"Cooper, Allen and Howard Reason App",Hit change people participant memory old consider resource.,3.7.9,Security,Antivirus,"Daniels, Shaw and Juarez",ihernandez@example.net,Carrie Gray,Rhonda Pierce,Michael Miller,"Engineer,_maintenance Dept",198879.77,perpetual,CC7420,False,946.0,on_premise,production,mobile,Ruby,,Notion,Power BI,"GDPR,ISO 27001,SOX",restricted,low,2025-05-08,2025-07-20,,2025-09-29,99.68,medium,billion,Usually matter night live rule away only. Right just situation spring wear buy church.,2023-11-23T06:10:27.662920,2025-08-01T06:10:27.662923
16,Anderson PLC Garden App,Respond station growth.,2.0.3,Security,Antivirus,Becker Ltd,ftorres@example.net,Melissa Lee,Cynthia Porter,John Greene,Engineering_geologist Dept,227019.43,subscription,CC1409,True,2831.0,hybrid,staging,web,,,SAP ERP,"Splunk,Okta,ServiceNow","HIPAA,SOX,PCI DSS",restricted,high,2020-09-21,2024-06-09,,2026-10-11,99.05,low,"risk,event,husband,time",Head name answer sense else far. Service draw fly activity.,2024-03-14T06:10:27.663400,2025-08-01T06:10:27.663402
17,"Aguilar, Mathews and Howard Else App",Sea commercial car.,5.1.3,Security,Firewall,Stewart-Roth,abrown@example.net,Daniel Castillo,Lori Ortiz,Erin Hill,"Psychologist,_educational Dept",154167.54,perpetual,CC1831,False,2879.0,hybrid,staging,web,Python,Neo4j,Miro,,"HIPAA,PCI DSS,GDPR",confidential,low,2023-06-01,2025-07-27,,2026-04-26,99.79,high,"ago,whatever,college,pressure",Consumer not participant glass nor dark provide.,2024-08-23T06:10:27.664101,2025-08-01T06:10:27.664105
18,"Anderson, Kaiser and Thornton Budget App",Experience rule often country toward.,3.4.2,Security,MFA,Gomez-Rios,cartercurtis@example.org,David Dixon,Eric Smith,Charles Oliver,Customer_service_manager Dept,241276.34,subscription,CC3558,True,4844.0,on_premise,development,mobile,,MongoDB,Confluence,"GitHub,Adobe Photoshop,Mailchimp",,confidential,medium,2020-10-16,2024-01-27,,2025-08-12,99.09,low,training,National success worker difficult couple drop. Significant later particularly enough debate fear strategy.,2023-05-07T06:10:27.664784,2025-08-01T06:10:27.664787
19,"Horne, Lopez and Dougherty Body App",Fly way yet discuss age occur.,3.5.4,Design,Video Editing,Richard Group,richardsholly@example.net,Steven Ibarra,George Shepherd,Gregory Black,Higher_education_careers_adviser Dept,37479.03,subscription,CC5410,True,3995.0,hybrid,production,web,Kotlin,,"Jira,Google Cloud Console,Figma","Microsoft Teams,Okta,Salesforce",,restricted,low,2022-10-24,2025-06-16,,2025-12-13,99.76,high,"participant,picture,office,lead,claim",Doctor owner agent agreement anyone arm source. Capital big space however despite even.,2021-10-28T06:10:27.665363,2025-08-01T06:10:27.665366
20,Lopez Inc Raise App,Fly quickly later.,3.6.4,Sales,CRM,Collins Inc,kevinevans@example.org,Crystal Clark,Sharon Baker,Jordan Ramirez,Audiological_scientist Dept,71708.4,perpetual,CC0163,True,2727.0,on_premise,staging,api,,,,,"GDPR,PCI DSS",restricted,high,2022-04-29,2024-12-14,,2027-05-03,99.97,critical,"enough,school",Hope face between rock explain son.,2023-07-22T06:10:27.665852,2025-08-01T06:10:27.665854
21,"Anthony, Daniel and Miller Amount App",Add after as chance break international kid.,4.6.0,IT Operations,Asset Management,Perez Inc,shane92@example.org,Eric Davis,Jason White,Elizabeth Branch,Music_therapist Dept,315687.52,freemium,CC1664,True,1044.0,cloud,development,api,,Oracle,"Asana,Google Cloud Console,Miro","SAP ERP,Google Analytics,GitLab",,public,medium,2023-01-14,2023-09-16,,2026-05-04,99.46,low,"consumer,interest,little,answer",Back animal see side staff several building. Student detail exist.,2023-10-29T06:10:27.666395,2025-08-01T06:10:27.666398
22,Johnson and Sons Machine App,Then generation employee building money together.,1.7.3,Productivity,Note Taking,"Perez, Scott and Castaneda",michael64@example.com,David Davis,Catherine Dorsey,Allison Gilbert,Music_therapist Dept,320113.36,open_source,CC1941,True,860.0,cloud,production,web,,PostgreSQL,"Zoom,Trello","Slack,Azure AD",GDPR,public,low,2020-11-18,2024-02-25,2024-08-23,2026-04-07,99.99,critical,"rock,try,book",Deal hit company throw.,2020-10-14T06:10:27.666947,2025-08-01T06:10:27.666950
23,Rodriguez-Brown Candidate App,Out indicate step question participant factor step.,1.8.4,Communication,Messaging,Park Inc,kleinrichard@example.com,Gregory Coleman,Savannah Fischer,Ann Ramirez,Audiological_scientist Dept,270119.67,freemium,CC0187,True,3941.0,cloud,production,desktop,Kotlin,Oracle,"Trello,Google Analytics,Jira",,"SOX,PCI DSS",internal,medium,2025-06-20,2025-06-23,,2026-02-27,99.87,critical,"set,itself,return,majority,campaign",Compare range over board bed probably. Chair I argue turn message name.,2022-01-15T06:10:27.667498,2025-08-01T06:10:27.667500
24,"Chavez, Savage and Morgan Kid App",South upon watch run a.,4.8.8,IT Operations,Ticketing,Romero-Bird,mitchelllindsay@example.net,Brandy Burns,Darrell Blake,Rebecca Johnson,Further_education_lecturer Dept,194210.09,subscription,CC6614,True,,hybrid,staging,mobile,Perl,,"Power BI,SAP ERP,Mailchimp",Salesforce,"PCI DSS,HIPAA,SOX",public,high,2025-03-14,2025-06-11,,2026-05-24,99.67,high,"six,allow",Method term role.,2023-11-20T06:10:27.668128,2025-08-01T06:10:27.668130
25,"Cooper, Cline and Savage Computer App",Professor Mrs gas mention I.,5.9.6,Marketing,Social Media Management,Torres Inc,noah92@example.org,Amy Jones,Chris Williams,Andrew Smith,"Designer,_blown_glass/stained_glass Dept",8108.22,open_source,CC7036,True,,on_premise,staging,mobile,Kotlin,SQL Server,"Mailchimp,Adobe Photoshop","Google Cloud Console,Figma","PCI DSS,HIPAA,ISO 27001",internal,medium,2025-02-05,2025-06-29,,2025-12-30,99.54,critical,hold,Economy reason arrive about big. Other others cut available to fear.,2025-02-09T06:10:27.668671,2025-08-01T06:10:27.668677
26,Mcdonald-Oconnell Magazine App,Matter leader hear agency thing since less daughter.,4.5.1,Finance,Expense Tracking,Flores PLC,carlastone@example.com,Ashley Brown,Travis Taylor,Eric Werner,Dietitian Dept,306759.93,perpetual,CC7781,True,2665.0,hybrid,production,mobile,TypeScript,,"Microsoft Teams,Google Cloud Console,Asana",,"GDPR,SOX,ISO 27001",public,low,2022-06-01,2022-09-21,,2026-09-20,99.89,low,"future,seven",Sit us assume south pretty region region. Test beyond money us imagine end mother.,2022-09-19T06:10:27.669204,2025-08-01T06:10:27.669207
27,"Smith, Willis and Hardy Range App",Later north respond religious authority could agree.,3.0.6,IT Operations,Monitoring,"Montoya, Hamilton and Walker",richardunderwood@example.org,Noah Curry,William Ortiz,Renee Castillo,Audiological_scientist Dept,277365.26,freemium,CC3367,True,3544.0,cloud,staging,web,Rust,MongoDB,ServiceNow,"GitLab,Tableau,AWS Console","HIPAA,ISO 27001",confidential,high,2021-12-19,2024-08-23,,2026-05-06,99.93,critical,"impact,modern",My well something. Thousand little they.,2024-05-10T06:10:27.669885,2025-08-01T06:10:27.669887
28,Guerra-Shelton Size App,Production great any animal long.,1.6.4,Finance,Accounting,"Hardin, Mendoza and Carlson",lwilson@example.com,Christian Russell,Joel Ray DDS,Amy Huang,Academic_librarian Dept,212908.24,freemium,CC9718,True,3426.0,on_premise,development,mobile,TypeScript,MongoDB,"Notion,GitHub,Trello",,"SOX,PCI DSS,ISO 27001",public,medium,2025-04-15,2025-07-05,,2026-12-03,99.76,critical,ever,Create per one everybody amount. Keep strategy college reach huge laugh.,2024-04-23T06:10:27.670556,2025-08-01T06:10:27.670559
29,"Beck, Grant and Hernandez Eight App",Born program four fast.,2.8.8,Marketing,Social Media Management,Snyder-Bernard,amanda25@example.org,Misty Ball,Cody Brooks,Jillian Stevenson,Geophysicist/field_seismologist Dept,275569.78,open_source,CC9270,True,,cloud,production,mobile,C#,SQL Server,"Google Cloud Console,Salesforce",GitHub,,restricted,critical,2020-09-22,2025-04-30,,2027-06-07,99.35,medium,"federal,discuss,various,free,keep",One million address investment central live stock. Health think continue history behavior in alone.,2020-12-09T06:10:27.671243,2025-08-01T06:10:27.671247
